mean,std,min,max
0.33916638987927833,0.40296395877936897,-0.840010031262025,0.9112249210864978
0.2827761005557571,0.581157020200997,-0.877773460341213,0.951730381699657
0.27680352992107915,0.5202349388050603,-0.7919714492015527,0.9573917710330021
0.2513195521946965,0.4746535685929946,-0.8307857630512362,0.957565949839834
0.2483850014726768,0.4774689055354888,-0.8327298966687824,0.9578147496439571
0.21646210052608014,0.5291022519161956,-0.8743927435844806,0.9909774980735758
0.21320386892228768,0.5219852479186032,-0.8705863235592403,0.9942161664336131
0.21300841645077723,0.5181582138580493,-0.8697690525617479,0.9945279703989627
0.21231872118265624,0.5247452375999822,-0.8673279277805146,0.9926602553943681
0.21165655622719912,0.5080966880182362,-0.8244641005428954,0.9962363437321068
