open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2020-08-11,2.85,3.5208,2.8433,3.2985,1552384.78,2020-08-11 23:59:59.999,4939148.938107,13490,741770.79,2370192.681119
2020-08-12,3.2985,3.9289,3.08,3.7558,1737042.95,2020-08-12 23:59:59.999,6176153.724638,21118,889133.5,3161944.268817
2020-08-13,3.75,4.1387,3.5003,3.73,1685759.24,2020-08-13 23:59:59.999,6446567.98049,22922,716358.46,2755764.748006
2020-08-14,3.7207,3.7676,3.321,3.4099,1474161.79,2020-08-14 23:59:59.999,5205834.095977,18581,578651.84,2048896.655467
2020-08-15,3.4181,3.74,3.15,3.173,1070233.2,2020-08-15 23:59:59.999,3658005.622202,13903,439623.97,1510472.729568
2020-08-16,3.173,3.4907,3.12,3.3885,668106.53,2020-08-16 23:59:59.999,2227715.62781,10659,267439.48,896424.218505
2020-08-17,3.3885,3.3952,3.1,3.11,729413.64,2020-08-17 23:59:59.999,2355329.78763,8632,258191.89,833604.429817
2020-08-18,3.11,3.7092,2.8105,3.3407,2713115.94,2020-08-18 23:59:59.999,8885306.133224,27415,1276599.28,4211377.733932
2020-08-19,3.334,3.49,2.8,2.8868,1433243.76,2020-08-19 23:59:59.999,4380403.488824,17076,487245.28,1491949.575963
2020-08-20,2.8962,3.445,2.8871,3.2038,1277827.32,2020-08-20 23:59:59.999,4078240.331482,14169,654313.24,2100682.285326
2020-08-21,3.2038,3.24,2.89,2.9317,1131895.9,2020-08-21 23:59:59.999,3480342.67494,12957,435955.04,1340925.254726
2020-08-22,2.9213,3.2,2.7431,3.0126,1169417.78,2020-08-22 23:59:59.999,3433997.193736,10427,535610.79,1579335.779896
2020-08-23,3.0224,3.4,3.0014,3.25,1198036.69,2020-08-23 23:59:59.999,3846250.69637,11455,701976.44,2259165.675399
2020-08-24,3.2658,3.62,3.21,3.3405,1315196.06,2020-08-24 23:59:59.999,4504839.417218,15317,634212.19,2181573.743108
2020-08-25,3.3406,3.3654,3.0001,3.25,1149187.37,2020-08-25 23:59:59.999,3629890.757954,14226,477028.87,1506233.260046
2020-08-26,3.2576,3.7999,3.1809,3.5684,2290030.56,2020-08-26 23:59:59.999,8065581.239321,23980,1256407.83,4427331.468248
