Lag,TSI_13_25_13,TSIs_13_25_13,ad,adosc,adx,adxr,ao,apo,aroon_down,aroon_up,aroonosc,atr,bbands_lower,bbands_middle,bbands_upper,beta,bop,cci,cmo,correl,dema,dx,ema,fama,fi,ht_dcperiod,ht_dcpphase,ht_phasor_inphase,ht_phasor_quadrature,ht_sine_leadsine,ht_sine_sine,ht_trendline,ht_trendmode,id,kama,linearreg,linearreg_angle,linearreg_intercept,linearreg_slope,ma,macd,macd_hist,macd_signal,macdext,macdext_hist,macdext_signal,macdfix,macdfix_hist,macdfix_signal,mama,mfi,midpoint,midprice,minus_di,minus_dm,mom,natr,number_of_trades,nvi,obv,obv_price_divergence,plus_di,plus_dm,ppo,pvi,quote_asset_volume,roc,rocp,rocr,rocr100,rsi,rvi,sar,sma,stddev,stoch_slowd,stoch_slowk,stochf_fastd,stochf_fastk,stochrsi_fastd,stochrsi_fastk,t3,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,tema,trange,trima,trix,tsf,ultosc,var,volume_osc,vwap,willr,wma,open,high,low,volume
13,-0.009423621307053286,0.07033121047338323,0.8047766899338994,-0.005390718873357546,-0.13962623575952743,-0.12335918712770556,0.07600743937330408,0.06587554646436253,0.11185256518510095,-0.10541601152095886,-0.12543985134125105,0.9083426146800504,0.9647455653116347,0.9665234853130219,0.9638752855540064,0.10737416000255066,-0.021500316035083226,-0.11079868308159671,-0.06735932944195751,0.1515070641274757,0.98016001951637,-0.1279584793911254,0.9899812716482385,0.9907991875635955,-0.019967045635078024,-0.05856370992274754,0.003216527209670274,-0.05844604583760781,0.0016710438674931178,-0.05168007650005009,-0.12050861769911286,0.9918792758293651,0.015424223654104946,0.3793751385101089,0.9856118656633162,0.9535057931654934,-0.12866482812909477,0.9958891513044951,-0.07567937339760122,0.9919957481067468,0.14122121008693703,-0.23469825317215184,0.21785844594035988,0.06587554646436256,-0.21952266921323932,0.16906951807039525,0.14209088031549041,-0.23492017683767003,0.21855535149301786,0.9743527802810406,-0.07000269673399871,0.9860647139464452,0.9850093428337805,0.22201763520308618,0.849977949418027,-0.07765487029634775,-0.17378284410118408,0.5795270326130272,0.8093023347655565,0.6857872931544914,0.03520843962652382,-0.16587491978087407,0.7293499953551075,-0.09968421995972829,0.7866452831468969,0.5557558409947841,-0.1814808791555128,-0.1814808791555129,-0.1814808791555129,-0.18148087915551284,-0.0673593294419575,-0.02409575405486936,0.9714241679513332,0.9919957481067468,0.7045003127493706,-0.0215742724029945,-0.02085089622850743,-0.02085089622850743,-0.019727402126553613,-0.019318006811619156,-0.01542426300745604,0.9649548236363369,-0.11661376362038556,0.5510088065708336,0.9680270122991993,0.7066283174269432,0.994772266952457,0.10572751065399652,0.9466867401811299,0.019306749203334545,0.524673562011129,-0.05287065932071829,0.5130791461151406,-0.08009423954569118,0.9910512036545321,0.9606004478606748,0.9580293587175992,0.9584182930321938,-0.12118019348020807
14,-0.02279815153308002,0.05598553207090593,0.8039762749689897,-0.007865473989892544,-0.1442804632531157,-0.12734289572182436,0.05865291136104887,0.04208964149676978,0.11845650952972019,-0.11615087273611001,-0.13543646952204605,0.9064042184208497,0.9614740174321924,0.9630080276251379,0.9601611622111678,0.10340000043249936,-0.02054698349306413,-0.10932180923326561,-0.07608975060338406,0.1486264762351174,0.9769903411979028,-0.13080756622191894,0.9892455600980614,0.9896790088976544,-0.02031999247087119,-0.06215376639600033,-0.009642984125117934,-0.057215915745072295,0.0025128261632804774,-0.03469696017376375,-0.11105098392809433,0.9916150909530121,0.016623742154813402,0.37759216918275607,0.9842172763485398,0.9499678093846765,-0.12935563107272283,0.9927420887118591,-0.07714494172061524,0.9921784146853423,0.12361459766313489,-0.23471080805283348,0.19930613685383383,0.04208964149676978,-0.22462235933059885,0.14652001795876168,0.12444420107682229,-0.2351098810228842,0.2000185088530696,0.9709390227029332,-0.08458564474193622,0.9825988223410363,0.981801618843802,0.2297331895344461,0.8534210023505526,-0.07773136161491506,-0.1705212162845529,0.5732896137731969,0.8060482598003155,0.6838395962239505,0.03700482853471375,-0.17378661371075824,0.7217630802823559,-0.1155483888125318,0.783360718091746,0.5488031935529345,-0.18299777546944432,-0.1829977754694444,-0.1829977754694444,-0.18299777546944435,-0.07608975060338408,-0.02481154754812421,0.9663432098663471,0.9921784146853423,0.6995593618489816,-0.021631432886504418,-0.02112079163257404,-0.02112079163257404,-0.020142913257786093,-0.016577139158051257,-0.013104553650344778,0.961167764941522,-0.12079692577997735,0.5440982262385605,0.9636361302204274,0.6998141585912058,0.9951607458779766,0.09683927071002031,0.9431298420693427,0.015511653070481001,0.5197973118927908,-0.053601986710777386,0.5152566491785402,-0.07989871935794476,0.9895803900736815,0.9572194567537057,0.9545373122975874,0.9553693696767057,-0.1253897435234954
15,-0.03555973741295397,0.041739671885967465,0.8031514123917423,-0.009900689233720322,-0.1487801596512252,-0.1315364606382238,0.041975365542533935,0.02006077647015589,0.12194935001015468,-0.119608809430261,-0.1394443337254213,0.9042449824929439,0.958287307611248,0.9594615544407594,0.956316233874091,0.10067626738074469,-0.021135584711626285,-0.10738362468543165,-0.08426425370824836,0.1457720362996959,0.9736299382411796,-0.13229176685018615,0.9883103898650938,0.9883194903321403,-0.02278674162937728,-0.0659142615200106,-0.02215843848853427,-0.057245237706727806,0.0003074905615815796,-0.017594844610459803,-0.0990612798039794,0.9911020615630807,0.015834610437267378,0.3758920919009736,0.9826325815112208,0.9464087943941677,-0.1297518212110491,0.9895154246145467,-0.07841945637902321,0.9921276741586948,0.10666898210790926,-0.23287449040272434,0.18090675788819316,0.02006077647015591,-0.2235600055271152,0.12299623971170706,0.10745039048614835,-0.23343531192047645,0.18162317781497445,0.9674606850706061,-0.08978103999038925,0.9790433342556792,0.9778033414191725,0.23722018447445367,0.8566327771431574,-0.07703511944435733,-0.16789197042286022,0.5685262409651795,0.8026267436852411,0.6818527771444385,0.03807434247586967,-0.1809104003929908,0.7141613414046097,-0.13018041427752752,0.7799244121164046,0.5433318872848965,-0.18282185653003585,-0.18282185653003585,-0.18282185653003588,-0.18282185653003588,-0.08426425370824839,-0.025295481255279004,0.9611750498433254,0.9921276741586948,0.6935338483100342,-0.021610818693892624,-0.02082471896995044,-0.02082471896995044,-0.01907552062392989,-0.013610256786253244,-0.009773569975063987,0.9574294758224665,-0.12361050046232722,0.5385208141095813,0.9591180017273474,0.6963733172474655,0.9951321528146623,0.08765924497967688,0.9395564105417337,0.01632538354394967,0.5124121288019187,-0.05215689466569708,0.5174070347693734,-0.07624315079612366,0.9878622454892958,0.9538547903571191,0.9510184819629518,0.9519248528978924,-0.12822485401771802
16,-0.04786984892850411,0.027588658103804304,0.8022298603735141,-0.01237501366416586,-0.15317452722612573,-0.13598178204656744,0.026301168742653012,-0.00010297822892327464,0.11865756543736357,-0.1183410624355479,-0.13683605907342913,0.9017521643195241,0.9552821830880506,0.9559008486488149,0.9522882498064693,0.09955887453229409,-0.02367958616111862,-0.10717742061333169,-0.09291848710395842,0.1424943486060345,0.9700823026082869,-0.1341104968414175,0.9871918283229937,0.9866724240331208,-0.02391893445279986,-0.06982684304425171,-0.03449124091069577,-0.058811934176648976,-0.0015054418695743083,-0.0015664624360127734,-0.08654909488680879,0.9903109542352914,0.01978150566652768,0.3741527925958122,0.9808685182619796,0.9428433488046929,-0.12910089057640545,0.9861859831788556,-0.07938285701841416,0.9918384758664872,0.09035257289487218,-0.2294373261367053,0.16269969759073546,-0.00010297822892325686,-0.21714553567309638,0.09898079235023749,0.09107951418601501,-0.23013849977194756,0.1634087046546866,0.9638216054352983,-0.09066345473492131,0.9754601392536651,0.9738935763941425,0.24411241373209583,0.8588638692523451,-0.07880373193820424,-0.1651749347458673,0.5616774711973648,0.7990897770850569,0.6798523487633458,0.03817414627430645,-0.18856578192630877,0.7063555620552978,-0.1436207605831734,0.7763713701634604,0.5351313262897366,-0.1844231919756763,-0.18442319197567633,-0.1844231919756763,-0.18442319197567625,-0.09291848710395839,-0.025676396125475964,0.9557516292300194,0.9918384758664872,0.6856956451663797,-0.02197020461542963,-0.021788127689828123,-0.021788127689828123,-0.02207254069986624,-0.011897772277968198,-0.011336408202231524,0.9537331953070495,-0.12880867152009925,0.5303339574969829,0.9544842335807251,0.6907564669213586,0.9946693916426063,0.07818256811894177,0.9359838192295611,0.01396444612866438,0.5020649284901267,-0.05343431986321268,0.5195220248745629,-0.07559318969298312,0.9859021103963599,0.95036104771632,0.9474238319579151,0.9486355567371206,-0.13339023198100802
17,-0.05981676683607896,0.013498868757144967,0.8011368329051521,-0.015979388907798025,-0.15757487651968322,-0.14080025694552373,0.011504657917626922,-0.018144461650900456,0.11622485029544109,-0.11690200827974379,-0.13461851935585317,0.8990759761545082,0.9521633244314511,0.9523690733589979,0.9484121230094649,0.10069886972968602,-0.025391807310304573,-0.10762150239251451,-0.10153797350602035,0.13900631959391777,0.9663561906881946,-0.13675894626791213,0.9859232222166618,0.9849534302102784,-0.02815362270016209,-0.07392202715741306,-0.0460201321501438,-0.06150255307883542,-0.000856123079545251,0.012210730058461494,-0.07445540615981126,0.9892358311195221,0.01874479423205631,0.37225646882166513,0.9789559553749981,0.9392498863839595,-0.12827603765957182,0.982822231750802,-0.08032577348270602,0.9913251051124544,0.07449609803635106,-0.2249393864354815,0.14466537669185453,-0.018144461650900456,-0.20598896711852796,0.07502099258540901,0.07516539226111535,-0.22575218059180754,0.1453561258894135,0.9602400805423822,-0.09219212545099144,0.97189444347768,0.9700454919279162,0.2514577128844505,0.8613817601083863,-0.0808182796228517,-0.16243110105159766,0.5560207386242394,0.795152622853887,0.6777836601610835,0.038561090957954375,-0.1954888938569885,0.6992224830922514,-0.15576423935050307,0.7724108822406377,0.5284568354100401,-0.18615606372958504,-0.18615606372958496,-0.186156063729585,-0.186156063729585,-0.1015379735060202,-0.026082376206520458,0.9501930277014784,0.9913251051124544,0.6791949995822634,-0.022804424009076014,-0.02361162488176072,-0.02361162488176072,-0.025254874473836213,-0.011510592215103314,-0.012714196984756001,0.9500726995553924,-0.13317069105307028,0.5236393949695517,0.9497416994853286,0.6855046976994158,0.9938086592212669,0.06838971857637939,0.9323838084190319,0.011259086288012518,0.49484489160921064,-0.05327300870769531,0.5216301521140704,-0.07499927840208623,0.9837226312373339,0.9468377886212859,0.9436770312360598,0.945141563049887,-0.1377389959580615
18,-0.07146629039061542,-0.00041949457662441257,0.8001331269001402,-0.019110475066457903,-0.16180319862563253,-0.1456807753125092,-0.0026723637591074233,-0.03469271888620288,0.11387703046800172,-0.1144780437861532,-0.1318711996239885,0.896592233893907,0.9483074077391469,0.9486835524634767,0.9448860455155647,0.1012258110797531,-0.026365558692699183,-0.10935248679234795,-0.11028100543532407,0.13566232274633808,0.9624196396432532,-0.13789305838968619,0.9844605496902111,0.9829629030029332,-0.029208720222498128,-0.07802160691408687,-0.05367803575346608,-0.06331806671201116,0.003239108194551062,0.0234207921819097,-0.06443331373334603,0.9878367755837562,0.021828821568598996,0.37033224788144997,0.9768387657546502,0.9354926574585849,-0.1281736639844714,0.9794918880274905,-0.08190541367943083,0.9905587108281176,0.05887571069722538,-0.22048764188411343,0.12689339250527681,-0.0346927188862029,-0.19240957055617627,0.05151726924371898,0.05948942045145794,-0.2213803331775216,0.1275586363139697,0.9564250190621356,-0.09348246164169068,0.9683323137489515,0.9662019191028699,0.2600765720498102,0.8650739854484937,-0.08424850162504696,-0.15935354073125904,0.5511274263006943,0.7910474258620981,0.6757930567970191,0.03907649574637997,-0.20211688655720092,0.6923730925644391,-0.16688192077334285,0.7683152261355282,0.5235836745538893,-0.18790169223923883,-0.1879016922392388,-0.1879016922392388,-0.18790169223923886,-0.110281005435324,-0.02549249543198008,0.9450263027219884,0.9905587108281176,0.6779590229393714,-0.025100009653699212,-0.027386104459343263,-0.027386104459343263,-0.028921083929806052,-0.012927517848460413,-0.013446991103067995,0.9463365392596425,-0.13493252845740436,0.5188066795270494,0.9448381425238648,0.6852686407025499,0.9925663697487657,0.05835394239238471,0.928605887759574,0.00787254154581492,0.49502933448777237,-0.0503967948872616,0.5237316436409243,-0.07585412389119714,0.9812991991675302,0.9429873956899766,0.9397218874653158,0.9408752302418123,-0.13952086711024053
19,-0.08262859397540132,-0.014116517727750124,0.799140828972621,-0.021867914820587038,-0.1657301828620676,-0.15059063964332514,-0.01653689493829111,-0.0494982816338543,0.11334531861947382,-0.11229426946646488,-0.13029251327451036,0.8936386243161103,0.9444835524703367,0.9448909430882442,0.9411333574559286,0.09770115754880339,-0.02496221296047323,-0.10982780598731015,-0.11772195468321874,0.13313867216877343,0.95833410329989,-0.1377775875669119,0.9828365101723631,0.9807705324664296,-0.026359136442147987,-0.08196030675474433,-0.060641890518590154,-0.06257122468822435,0.007150755257318831,0.03247437810788337,-0.05606085044512383,0.9861156655846232,0.02232804190695242,0.36838100354850056,0.9745201047928846,0.931617883422367,-0.12898164586610295,0.9762488197562427,-0.0841469277222413,0.989532264254918,0.0438618565259734,-0.2150075138066527,0.10945818333984199,-0.04949828163385428,-0.1768237595653965,0.028920556301092894,0.04441744188473975,-0.2159645720633442,0.11009153861478302,0.9524942037824902,-0.09360021642212805,0.964849087657981,0.9625108623442987,0.26658258416688274,0.8669087891431728,-0.08688080039753955,-0.15741904883267263,0.5437609405964815,0.7869770851016852,0.6739263746133206,0.03948283253240334,-0.20864983790791197,0.6852122564964812,-0.17681964413658777,0.7642272770748885,0.5157615281361969,-0.1899127364183791,-0.18991273641837908,-0.18991273641837905,-0.18991273641837908,-0.11772195468321874,-0.02319043624026332,0.940379110319821,0.989532264254918,0.6753635317348965,-0.028334063650569015,-0.030809867052078655,-0.030809867052078655,-0.030751881493750233,-0.013213563497433264,-0.012107633753147986,0.9425159736736625,-0.13914331831057836,0.5111071179223337,0.9398605381893045,0.6778903999512811,0.990966132434051,0.048109753145105474,0.9246955205933002,0.005668535912438757,0.49403763902579295,-0.04955166222515021,0.5258119782276681,-0.07641530534757698,0.9786675571136075,0.9387939580523708,0.9354777418195481,0.9370764758444353,-0.14383389061359056
20,-0.09331703725153982,-0.02753717630847332,0.7981438407452968,-0.024588708717927777,-0.1695511025134629,-0.15558095205629685,-0.029932676843586373,-0.06257144932585912,0.1154335775189768,-0.11175308581423998,-0.13112062970736257,0.8903815924532907,0.9409414181267852,0.9409976438339802,0.9369505634006238,0.09704296549185447,-0.024401315436021035,-0.1114790558934024,-0.12478442690962735,0.1304705056538191,0.9541128532289085,-0.13932350215980935,0.9810512941402655,0.978359428709971,-0.027982187867069384,-0.08567481635565,-0.06640952050490628,-0.0610664046895425,0.007343916904953675,0.03970334821744113,-0.049979665546135484,0.9840641135984444,0.020184980212540497,0.3664208285994875,0.9720145923332706,0.9276994461160454,-0.1294740213814421,0.9729247628256226,-0.0862763749709802,0.9882461071831368,0.02950280009718799,-0.20861347174547415,0.09244427580103269,-0.06257144932585909,-0.16025227422652882,0.007685873777478926,0.029998490312642005,-0.20962048283711443,0.09304036483772261,0.948564166659557,-0.09430745386952999,0.9612860014311777,0.9587620727590995,0.27369124414215473,0.8684329615044871,-0.08861093656109244,-0.15476801130422962,0.5363491611062834,0.7831367596772046,0.6720604385222229,0.039688609111868285,-0.21473879143390806,0.6783148326379469,-0.1855863646476351,0.7603761641241763,0.5077989373036897,-0.192485301145615,-0.192485301145615,-0.192485301145615,-0.192485301145615,-0.12478442690962734,-0.020554013979878057,0.9357189802001136,0.9882461071831368,0.6691816701756007,-0.03177376627197506,-0.03317749059259096,-0.03317749059259096,-0.03122604604154372,-0.012193765730390075,-0.01031634708381818,0.9386196088931867,-0.14313591836724923,0.5031970538729478,0.9348259152728886,0.6722150936783118,0.9890288002475479,0.03769153395758056,0.9207444587148202,0.002298091058346296,0.487492752040812,-0.04759259539024981,0.527859368726101,-0.07687632416594552,0.9758363524314257,0.934882510940617,0.9314320911248776,0.9333078048945865,-0.14770782067386432
21,-0.1034904398833944,-0.04051249433811877,0.7971365951629803,-0.027332010953236535,-0.17323575662137622,-0.16048916586940914,-0.04293342292115698,-0.07414186487595334,0.11713907287012823,-0.11057291371119525,-0.13136997611755902,0.8865332016996312,0.9373172433307217,0.9369613591925985,0.932572834583592,0.09820482985427087,-0.024652734508326356,-0.11307907012573226,-0.1315360278329819,0.12720087506117217,0.9497468429561716,-0.140709515228467,0.9790565405738084,0.9757539600203395,-0.02789208751114068,-0.08923661665770354,-0.07307644626339492,-0.060169598553010475,0.003963574294334768,0.04556648643006571,-0.045345546130429064,0.9816918227398724,0.0194536466393,0.36461435930171454,0.9692767445349222,0.9236650428635534,-0.13023039732478442,0.9695371757208995,-0.0885846360605063,0.9866657986045767,0.015836387058433984,-0.20184135822972402,0.07604915637523851,-0.07414186487595333,-0.14425907252698658,-0.01171327110634233,0.01627291969684559,-0.20288541268727012,0.07660512908741618,0.9446324604048223,-0.09615057367161435,0.9576134300833474,0.9549952750721111,0.27961710221281744,0.8687944673452969,-0.08990438143535091,-0.15236451319101926,0.5285413580084096,0.779542355448165,0.6702129691701801,0.03986356715971552,-0.22042439068090153,0.6712293431074844,-0.19334021142702026,0.7567967097753028,0.49978506616341745,-0.1947832687860543,-0.19478326878605434,-0.19478326878605437,-0.1947832687860543,-0.13153602783298185,-0.01766921138511173,0.9309839466186988,0.9866657986045767,0.6623435357560037,-0.03443393225687464,-0.03463495593903951,-0.03463495593903951,-0.03208871265010637,-0.009990954407970674,-0.0077029942710609275,0.9346121907440991,-0.14748187985876846,0.4953076313281562,0.9297192142345644,0.6645326806834492,0.9867576511915405,0.02721138761320776,0.916673943781087,-0.0015513048056661487,0.4794641811713547,-0.04866119499271685,0.5298393443508675,-0.07845582394541589,0.9727849485853867,0.930859018429325,0.9272498986918504,0.9296094745631576,-0.15211899250953043
22,-0.11307708075913854,-0.05315316271450056,0.7961637831946818,-0.02933677291166056,-0.17674915338770417,-0.1653103744207873,-0.05526410930896786,-0.08371857732046369,0.11954781230517306,-0.1091138803819116,-0.13186459206405238,0.8824916644873044,0.9335803793835974,0.9329358550761434,0.9283123430386767,0.09465561207878194,-0.022271888130128738,-0.11388259249106555,-0.1372410885192565,0.1244328516000478,0.9452948619332656,-0.141497851400644,0.9769329866254974,0.9730358856409353,-0.027541094884600843,-0.09270562083557465,-0.07732420115001651,-0.06186880086592762,-0.0009210547027190028,0.05055632676756436,-0.04178060834494308,0.9790483051847103,0.019408537146706244,0.36277891571420984,0.966382740188592,0.9196440509875391,-0.13074661158110998,0.9660571898214224,-0.09055802595153299,0.98484148385455,0.002976377181741131,-0.19395154820525182,0.060175230998448494,-0.08371857732046373,-0.12773217800435796,-0.029270818334933894,0.003351409028238172,-0.19502329555826506,0.06068674706763443,0.9406945287891124,-0.0971691024783186,0.9539619396944039,0.9512277858138815,0.28484460958449903,0.8684719647912271,-0.08941021338481726,-0.1504480445971404,0.5221044449987149,0.7760903373617273,0.6683965690217387,0.04004579987488672,-0.22507624958023087,0.6648292849492434,-0.19993025429366798,0.7533554743304705,0.4926370321652502,-0.19634286000418147,-0.19634286000418127,-0.19634286000418136,-0.19634286000418133,-0.1372410885192565,-0.01409937606784789,0.9266443061913737,0.98484148385455,0.6566518200006665,-0.035961520867639894,-0.03489802307073065,-0.03489802307073065,-0.031122936312299603,-0.006707748837079381,-0.0041049967565139015,0.9305923794344071,-0.1517189714167895,0.48834412458880117,0.9246172823568407,0.6592254917019948,0.9841998800024251,0.016603922307338148,0.912624729919751,-0.004590839122993019,0.47162489062074725,-0.0493030969395231,0.5317834653895231,-0.07912161855904029,0.9695754304005174,0.9269106050923207,0.9232642873355696,0.9258636896741274,-0.15651132358147984
