Correlation Leaderboard - Last Updated: 2025-03-30T17:37:36.663+00:00
==========================================================================================================================================================================================================================================================
 lag pos_value pos_indicator pos_params                            pos_symbol pos_timeframe pos_dataset       pos_config_id pos_source_db pos_timestamp           neg_value neg_indicator        neg_params                                         neg_symbol neg_timeframe neg_dataset       neg_config_id neg_source_db neg_timestamp          
18   0.978656   ichimoku      {"kijun":25,"senkou":71,"tenkan":16} SOLUSDT    1d            20200811-20250330 12086         SOLUSDT_1d.db 2025-03-30 12:06:16.036 -0.608467                 natr                                 {"timeperiod":200} SOLUSDT    1d            20200811-20250330 24278         SOLUSDT_1d.db 2025-03-30 14:33:01.932
19   0.978641   ichimoku       {"kijun":26,"senkou":52,"tenkan":9} SOLUSDT    1d            20200811-20250330 11447         SOLUSDT_1d.db 2025-03-30 12:01:19.989 -0.609435                 natr                                 {"timeperiod":200} SOLUSDT    1d            20200811-20250330 24278         SOLUSDT_1d.db 2025-03-30 14:33:09.897
20   0.981715   ichimoku       {"kijun":26,"senkou":52,"tenkan":9} SOLUSDT    1d            20200811-20250330 11447         SOLUSDT_1d.db 2025-03-30 12:01:20.011 -0.610363                 natr                                 {"timeperiod":200} SOLUSDT    1d            20200811-20250330 24278         SOLUSDT_1d.db 2025-03-30 14:33:18.103
21   0.988087   ichimoku       {"kijun":25,"senkou":53,"tenkan":8} SOLUSDT    1d            20200811-20250330 12200         SOLUSDT_1d.db 2025-03-30 12:07:09.186 -0.611207                 natr                                 {"timeperiod":200} SOLUSDT    1d            20200811-20250330 24278         SOLUSDT_1d.db 2025-03-30 14:33:25.744
22   0.988079   ichimoku       {"kijun":26,"senkou":52,"tenkan":9} SOLUSDT    1d            20200811-20250330 11447         SOLUSDT_1d.db 2025-03-30 12:01:20.059 -0.612029                 natr                                 {"timeperiod":200} SOLUSDT    1d            20200811-20250330 24278         SOLUSDT_1d.db 2025-03-30 14:33:33.924
23   0.991212   ichimoku       {"kijun":26,"senkou":52,"tenkan":9} SOLUSDT    1d            20200811-20250330 11447         SOLUSDT_1d.db 2025-03-30 12:01:20.074 -0.612756                 natr                                 {"timeperiod":200} SOLUSDT    1d            20200811-20250330 24278         SOLUSDT_1d.db 2025-03-30 14:33:42.223
24   0.994163   ichimoku       {"kijun":26,"senkou":52,"tenkan":9} SOLUSDT    1d            20200811-20250330 11447         SOLUSDT_1d.db 2025-03-30 12:01:20.106 -0.613494                 natr                                 {"timeperiod":200} SOLUSDT    1d            20200811-20250330 24278         SOLUSDT_1d.db 2025-03-30 14:33:50.915
25   0.997007   ichimoku       {"kijun":26,"senkou":52,"tenkan":9} SOLUSDT    1d            20200811-20250330 11447         SOLUSDT_1d.db 2025-03-30 12:01:20.133 -0.614062                 natr                                 {"timeperiod":200} SOLUSDT    1d            20200811-20250330 24278         SOLUSDT_1d.db 2025-03-30 14:33:59.165
26   1.000000   ichimoku       {"kijun":26,"senkou":52,"tenkan":9} SOLUSDT    1d            20200811-20250330 11447         SOLUSDT_1d.db 2025-03-30 12:01:20.160 -0.614421                 natr                                 {"timeperiod":200} SOLUSDT    1d            20200811-20250330 24278         SOLUSDT_1d.db 2025-03-30 14:34:07.381
27   0.997005   ichimoku       {"kijun":26,"senkou":52,"tenkan":9} SOLUSDT    1d            20200811-20250330 11447         SOLUSDT_1d.db 2025-03-30 12:01:20.192 -0.614866                 natr                                 {"timeperiod":200} SOLUSDT    1d            20200811-20250330 24278         SOLUSDT_1d.db 2025-03-30 14:34:15.205
